radius,intersection
36.0,1.0
37.0,1.0
38.0,4.0
39.0,5.0
40.0,7.0
41.0,8.0
42.0,7.0
43.0,6.0
44.0,5.0
45.0,7.0
46.0,8.0
47.0,6.0
48.0,6.0
49.0,5.0
50.0,6.0
51.0,6.0
52.0,6.0
53.0,6.0
54.0,6.0
55.0,6.0
56.0,5.0
57.0,5.0
58.0,4.0
59.0,4.0
60.0,4.0
61.0,4.0
62.0,4.0
63.0,4.0
64.0,5.0
65.0,5.0
66.0,5.0
67.0,5.0
68.0,4.0
69.0,6.0
70.0,3.0
71.0,3.0
72.0,3.0
73.0,5.0
74.0,6.0
75.0,5.0
76.0,5.0
77.0,5.0
78.0,5.0
79.0,5.0
80.0,5.0
81.0,5.0
82.0,5.0
83.0,5.0
84.0,5.0
85.0,5.0
86.0,5.0
87.0,5.0
88.0,5.0
89.0,5.0
90.0,5.0
91.0,5.0
92.0,5.0
93.0,5.0
94.0,5.0
95.0,5.0
96.0,5.0
97.0,6.0
98.0,6.0
99.0,7.0
100.0,7.0
101.0,7.0
102.0,7.0
103.0,7.0
104.0,7.0
105.0,7.0
106.0,7.0
107.0,8.0
108.0,7.0
109.0,7.0
110.0,7.0
111.0,7.0
112.0,7.0
113.0,8.0
114.0,7.0
115.0,6.0
116.0,6.0
117.0,6.0
118.0,6.0
119.0,6.0
120.0,7.0
121.0,7.0
122.0,6.0
123.0,7.0
124.0,6.0
125.0,7.0
126.0,7.0
127.0,5.0
128.0,5.0
129.0,5.0
130.0,4.0
131.0,4.0
132.0,4.0
133.0,4.0
134.0,4.0
135.0,4.0
136.0,3.0
137.0,4.0
138.0,6.0
139.0,6.0
140.0,7.0
141.0,7.0
142.0,5.0
143.0,5.0
144.0,4.0
145.0,4.0
146.0,4.0
147.0,4.0
148.0,3.0
149.0,3.0
150.0,3.0
151.0,3.0
152.0,3.0
153.0,4.0
154.0,4.0
155.0,4.0
156.0,4.0
157.0,4.0
158.0,4.0
159.0,4.0
160.0,4.0
161.0,3.0
162.0,3.0
163.0,3.0
164.0,3.0
165.0,3.0
166.0,3.0
167.0,3.0
168.0,3.0
169.0,3.0
170.0,3.0
171.0,3.0
172.0,3.0
173.0,4.0
174.0,4.0
175.0,4.0
176.0,4.0
177.0,4.0
178.0,4.0
179.0,4.0
180.0,4.0
181.0,4.0
182.0,4.0
183.0,4.0
184.0,4.0
185.0,4.0
186.0,4.0
187.0,4.0
188.0,4.0
189.0,4.0
190.0,4.0
191.0,4.0
192.0,4.0
193.0,4.0
194.0,4.0
195.0,4.0
196.0,4.0
197.0,5.0
198.0,6.0
199.0,6.0
200.0,6.0
201.0,6.0
202.0,6.0
203.0,6.0
204.0,6.0
205.0,6.0
206.0,5.0
207.0,4.0
208.0,5.0
209.0,7.0
210.0,7.0
211.0,5.0
212.0,5.0
213.0,5.0
214.0,5.0
215.0,5.0
216.0,5.0
217.0,5.0
218.0,5.0
219.0,5.0
220.0,5.0
221.0,5.0
222.0,7.0
223.0,7.0
224.0,7.0
225.0,6.0
226.0,5.0
227.0,5.0
228.0,5.0
229.0,5.0
230.0,5.0
231.0,5.0
232.0,5.0
233.0,5.0
234.0,5.0
235.0,5.0
236.0,5.0
237.0,5.0
238.0,5.0
239.0,5.0
240.0,3.0
241.0,4.0
242.0,4.0
243.0,4.0
244.0,5.0
245.0,6.0
246.0,5.0
247.0,5.0
248.0,5.0
249.0,4.0
250.0,4.0
251.0,3.0
252.0,3.0
253.0,3.0
254.0,3.0
255.0,3.0
256.0,2.0
257.0,2.0
258.0,2.0
259.0,2.0
260.0,2.0
261.0,2.0
262.0,3.0
263.0,3.0
264.0,3.0
265.0,3.0
266.0,3.0
267.0,3.0
268.0,3.0
269.0,3.0
270.0,3.0
271.0,3.0
272.0,3.0
273.0,3.0
274.0,3.0
275.0,3.0
276.0,3.0
277.0,4.0
278.0,4.0
279.0,4.0
280.0,4.0
281.0,4.0
282.0,4.0
283.0,6.0
284.0,6.0
285.0,4.0
286.0,4.0
287.0,4.0
288.0,4.0
289.0,4.0
290.0,4.0
291.0,5.0
292.0,5.0
293.0,5.0
294.0,4.0
295.0,4.0
296.0,4.0
297.0,6.0
298.0,6.0
299.0,8.0
300.0,10.0
301.0,6.0
302.0,8.0
303.0,8.0
304.0,7.0
305.0,7.0
306.0,7.0
307.0,7.0
308.0,7.0
309.0,7.0
310.0,9.0
311.0,7.0
312.0,6.0
313.0,6.0
314.0,6.0
315.0,6.0
316.0,6.0
317.0,6.0
318.0,7.0
319.0,6.0
320.0,6.0
321.0,6.0
322.0,5.0
323.0,5.0
324.0,5.0
325.0,5.0
326.0,5.0
327.0,5.0
328.0,5.0
329.0,5.0
330.0,5.0
331.0,6.0
332.0,5.0
333.0,5.0
334.0,5.0
335.0,5.0
336.0,5.0
337.0,5.0
338.0,5.0
339.0,5.0
340.0,5.0
341.0,5.0
342.0,5.0
343.0,5.0
344.0,5.0
345.0,5.0
346.0,5.0
347.0,5.0
348.0,5.0
349.0,5.0
350.0,5.0
351.0,5.0
352.0,4.0
353.0,4.0
354.0,4.0
355.0,4.0
356.0,4.0
357.0,4.0
358.0,4.0
359.0,4.0
360.0,4.0
361.0,4.0
362.0,4.0
363.0,4.0
364.0,4.0
365.0,4.0
366.0,4.0
367.0,4.0
368.0,4.0
369.0,4.0
370.0,4.0
371.0,4.0
372.0,4.0
373.0,4.0
374.0,3.0
375.0,3.0
376.0,3.0
377.0,3.0
378.0,3.0
379.0,3.0
380.0,3.0
381.0,3.0
382.0,3.0
383.0,3.0
384.0,3.0
385.0,3.0
386.0,3.0
387.0,3.0
388.0,3.0
389.0,3.0
390.0,3.0
391.0,3.0
392.0,3.0
393.0,3.0
394.0,4.0
395.0,4.0
396.0,3.0
397.0,3.0
398.0,2.0
399.0,2.0
400.0,2.0
401.0,2.0
402.0,2.0
403.0,2.0
404.0,2.0
405.0,2.0
406.0,2.0
407.0,2.0
408.0,2.0
409.0,2.0
410.0,2.0
411.0,2.0
412.0,2.0
413.0,2.0
414.0,2.0
415.0,2.0
416.0,2.0
417.0,2.0
418.0,2.0
419.0,2.0
420.0,2.0
421.0,2.0
422.0,2.0
423.0,2.0
424.0,2.0
425.0,2.0
426.0,2.0
427.0,2.0
428.0,2.0
429.0,2.0
430.0,2.0
431.0,2.0
432.0,2.0
433.0,2.0
434.0,2.0
435.0,2.0
436.0,3.0
437.0,3.0
438.0,3.0
439.0,3.0
440.0,3.0
441.0,3.0
442.0,2.0
443.0,2.0
444.0,2.0
445.0,2.0
446.0,2.0
447.0,2.0
448.0,2.0
449.0,2.0
450.0,2.0
451.0,2.0
452.0,2.0
453.0,2.0
454.0,2.0
455.0,2.0
456.0,2.0
457.0,2.0
458.0,2.0
459.0,2.0
460.0,2.0
461.0,2.0
462.0,3.0
463.0,3.0
464.0,2.0
465.0,2.0
466.0,2.0
467.0,2.0
468.0,2.0
469.0,1.0
470.0,1.0
471.0,1.0
472.0,1.0
473.0,1.0
474.0,1.0
475.0,1.0
476.0,1.0
477.0,1.0
478.0,1.0
479.0,1.0
480.0,1.0
481.0,1.0
482.0,1.0
483.0,1.0
484.0,1.0
485.0,1.0
486.0,1.0
487.0,1.0
488.0,1.0
489.0,1.0
490.0,1.0
491.0,1.0
492.0,1.0
493.0,1.0
494.0,1.0
495.0,1.0
496.0,1.0
497.0,1.0
498.0,1.0
499.0,1.0
500.0,1.0
501.0,1.0
502.0,1.0
503.0,1.0
504.0,1.0
505.0,1.0
506.0,1.0
507.0,1.0
508.0,1.0
509.0,1.0
510.0,1.0
511.0,1.0
512.0,1.0
513.0,1.0
514.0,1.0
515.0,1.0
516.0,1.0
517.0,1.0
518.0,1.0
519.0,1.0
520.0,1.0
521.0,1.0
522.0,1.0
523.0,1.0
524.0,1.0
525.0,1.0
526.0,1.0
527.0,1.0
528.0,1.0
529.0,1.0
530.0,1.0
531.0,1.0
532.0,1.0
533.0,1.0
534.0,1.0
535.0,1.0
536.0,1.0
537.0,1.0
538.0,1.0
539.0,1.0
540.0,1.0
541.0,1.0
542.0,1.0
543.0,1.0
544.0,1.0
545.0,1.0
546.0,1.0
547.0,1.0
548.0,1.0
549.0,1.0
