radius,intersection
146.0,12.0
147.0,12.0
148.0,12.0
149.0,12.0
150.0,13.0
151.0,13.0
152.0,13.0
153.0,13.0
154.0,13.0
155.0,13.0
156.0,13.0
157.0,13.0
158.0,13.0
159.0,13.0
160.0,12.0
161.0,12.0
162.0,11.0
163.0,12.0
164.0,12.0
165.0,10.0
166.0,13.0
167.0,11.0
168.0,12.0
169.0,11.0
170.0,11.0
171.0,8.0
172.0,8.0
173.0,8.0
174.0,9.0
175.0,9.0
176.0,9.0
177.0,8.0
178.0,8.0
179.0,8.0
180.0,8.0
181.0,8.0
182.0,8.0
183.0,8.0
184.0,8.0
185.0,8.0
186.0,8.0
187.0,8.0
188.0,8.0
189.0,8.0
190.0,8.0
191.0,8.0
192.0,9.0
193.0,9.0
194.0,9.0
195.0,9.0
196.0,8.0
197.0,7.0
198.0,10.0
199.0,11.0
200.0,8.0
201.0,7.0
202.0,8.0
203.0,8.0
204.0,8.0
205.0,8.0
206.0,8.0
207.0,8.0
208.0,8.0
209.0,9.0
210.0,9.0
211.0,9.0
212.0,9.0
213.0,7.0
214.0,5.0
215.0,4.0
216.0,3.0
217.0,3.0
218.0,3.0
219.0,3.0
220.0,3.0
221.0,3.0
222.0,3.0
223.0,3.0
224.0,4.0
225.0,4.0
226.0,4.0
227.0,4.0
228.0,4.0
229.0,4.0
230.0,4.0
231.0,4.0
232.0,4.0
233.0,3.0
234.0,3.0
235.0,2.0
236.0,2.0
237.0,2.0
238.0,2.0
239.0,2.0
240.0,2.0
241.0,2.0
242.0,2.0
243.0,2.0
244.0,2.0
245.0,2.0
246.0,2.0
247.0,2.0
248.0,2.0
249.0,2.0
250.0,2.0
251.0,2.0
252.0,2.0
253.0,2.0
254.0,2.0
255.0,2.0
256.0,2.0
257.0,2.0
258.0,2.0
259.0,2.0
260.0,2.0
261.0,2.0
262.0,2.0
263.0,2.0
264.0,2.0
265.0,2.0
266.0,2.0
267.0,2.0
268.0,2.0
269.0,2.0
270.0,2.0
271.0,2.0
272.0,2.0
273.0,2.0
274.0,2.0
275.0,1.0
276.0,1.0
277.0,1.0
278.0,2.0
279.0,2.0
280.0,2.0
281.0,2.0
282.0,2.0
283.0,2.0
284.0,2.0
285.0,2.0
286.0,2.0
287.0,2.0
288.0,2.0
289.0,2.0
290.0,2.0
291.0,2.0
292.0,2.0
293.0,2.0
294.0,2.0
295.0,2.0
296.0,3.0
297.0,3.0
298.0,3.0
299.0,3.0
300.0,3.0
301.0,3.0
302.0,3.0
303.0,3.0
304.0,3.0
305.0,3.0
306.0,3.0
307.0,3.0
308.0,3.0
309.0,3.0
310.0,3.0
311.0,2.0
312.0,2.0
313.0,2.0
314.0,2.0
315.0,2.0
316.0,2.0
317.0,2.0
318.0,2.0
319.0,2.0
320.0,2.0
321.0,2.0
322.0,2.0
323.0,2.0
324.0,2.0
325.0,2.0
326.0,2.0
327.0,2.0
328.0,2.0
329.0,2.0
330.0,2.0
331.0,2.0
332.0,2.0
333.0,2.0
334.0,2.0
335.0,2.0
336.0,2.0
337.0,2.0
338.0,2.0
339.0,2.0
340.0,2.0
341.0,2.0
342.0,2.0
343.0,2.0
344.0,2.0
345.0,2.0
346.0,2.0
347.0,2.0
348.0,2.0
349.0,2.0
350.0,2.0
351.0,2.0
352.0,2.0
353.0,2.0
354.0,2.0
355.0,2.0
356.0,2.0
357.0,2.0
358.0,2.0
359.0,2.0
360.0,2.0
361.0,2.0
362.0,2.0
363.0,2.0
364.0,2.0
365.0,2.0
366.0,2.0
367.0,2.0
368.0,2.0
369.0,2.0
370.0,2.0
371.0,2.0
372.0,2.0
373.0,2.0
374.0,2.0
375.0,2.0
376.0,2.0
377.0,2.0
378.0,2.0
379.0,2.0
380.0,2.0
381.0,2.0
382.0,2.0
383.0,2.0
384.0,2.0
385.0,2.0
386.0,2.0
387.0,2.0
388.0,3.0
389.0,3.0
390.0,3.0
391.0,3.0
392.0,3.0
393.0,3.0
394.0,2.0
395.0,2.0
396.0,2.0
397.0,2.0
398.0,2.0
399.0,1.0
400.0,1.0
401.0,1.0
402.0,1.0
403.0,1.0
404.0,1.0
405.0,1.0
406.0,1.0
407.0,1.0
408.0,1.0
409.0,1.0
410.0,1.0
411.0,1.0
412.0,2.0
413.0,2.0
414.0,2.0
415.0,2.0
416.0,2.0
417.0,2.0
418.0,2.0
419.0,2.0
420.0,2.0
421.0,2.0
422.0,2.0
423.0,2.0
424.0,2.0
425.0,2.0
426.0,2.0
427.0,2.0
428.0,2.0
429.0,2.0
430.0,2.0
431.0,2.0
432.0,2.0
433.0,2.0
434.0,2.0
435.0,2.0
436.0,2.0
437.0,2.0
438.0,2.0
439.0,2.0
440.0,2.0
441.0,2.0
442.0,2.0
443.0,2.0
444.0,2.0
445.0,2.0
446.0,2.0
447.0,3.0
448.0,3.0
449.0,3.0
450.0,3.0
451.0,3.0
452.0,3.0
453.0,3.0
454.0,3.0
455.0,3.0
456.0,4.0
457.0,3.0
458.0,5.0
459.0,6.0
460.0,6.0
461.0,6.0
462.0,6.0
463.0,6.0
464.0,4.0
465.0,4.0
466.0,4.0
467.0,4.0
468.0,4.0
469.0,4.0
470.0,4.0
471.0,4.0
472.0,4.0
473.0,4.0
474.0,3.0
475.0,4.0
476.0,4.0
477.0,4.0
478.0,4.0
479.0,4.0
480.0,4.0
481.0,4.0
482.0,4.0
483.0,4.0
484.0,4.0
485.0,4.0
486.0,4.0
487.0,4.0
488.0,4.0
489.0,3.0
490.0,5.0
491.0,5.0
492.0,4.0
493.0,4.0
494.0,4.0
495.0,4.0
496.0,4.0
497.0,4.0
498.0,5.0
499.0,5.0
500.0,5.0
501.0,5.0
502.0,5.0
503.0,4.0
504.0,4.0
505.0,4.0
506.0,6.0
507.0,2.0
508.0,2.0
509.0,2.0
510.0,3.0
511.0,3.0
512.0,4.0
513.0,4.0
514.0,4.0
515.0,4.0
516.0,4.0
517.0,4.0
518.0,4.0
519.0,5.0
520.0,4.0
521.0,4.0
522.0,4.0
523.0,4.0
524.0,4.0
525.0,3.0
526.0,4.0
527.0,4.0
528.0,4.0
529.0,4.0
530.0,4.0
531.0,7.0
532.0,7.0
533.0,7.0
534.0,7.0
535.0,6.0
536.0,4.0
537.0,3.0
538.0,3.0
539.0,3.0
540.0,3.0
541.0,5.0
542.0,6.0
543.0,4.0
544.0,5.0
545.0,5.0
546.0,5.0
547.0,5.0
548.0,5.0
549.0,5.0
550.0,5.0
551.0,5.0
552.0,5.0
553.0,4.0
554.0,4.0
555.0,3.0
556.0,3.0
557.0,2.0
558.0,2.0
559.0,2.0
560.0,2.0
561.0,2.0
562.0,2.0
563.0,2.0
564.0,2.0
565.0,2.0
566.0,2.0
567.0,2.0
568.0,2.0
569.0,2.0
570.0,2.0
571.0,2.0
572.0,2.0
573.0,2.0
574.0,2.0
575.0,2.0
576.0,2.0
577.0,2.0
578.0,2.0
579.0,2.0
580.0,2.0
581.0,2.0
582.0,2.0
583.0,2.0
584.0,1.0
585.0,1.0
586.0,1.0
587.0,1.0
